model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
priority,1000,5,4,2,5017,188,187,0.6282574980649756,4.969134657107853,0.4058720143705091,4,0.7000187392883715,0.4616849928914322,0.6947870268756065,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5018,194,194,0.726342442737503,5.027863918731954,0.4172475831714617,4,0.26333464525525907,0.6330608382690559,0.8509339590139678,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5019,210,209,0.6831035097693519,4.976486117327787,0.4486584824898565,4,0.5371408835475685,0.47177900417468355,0.8404924904896207,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,3,6000,212,212,0.1672710288424778,4.197045539859779,0.28477073211188936,2,0.19185477205231555,0.10444626114416353,0.19885847882305818,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6001,179,178,0.09360039141539377,4.022128226310718,0.23309265153712272,2,0.024164752245755882,0.050847601473694014,0.13121053571523514,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6002,216,215,0.028705876708285054,4.160678090932533,0.2961246753527379,2,0.07991778624049554,0.024423912949986953,0.022417772531408357,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6003,213,212,0.2581561753078369,4.114267103024333,0.2724985055586324,3,0.0,0.0028445104951678804,0.39277278540998944,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6004,196,196,0.06755871623610978,3.772877738502587,0.2420808427880764,2,0.023478659222017566,0.07699636419288548,0.06947654007269921,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6005,233,232,0.1597226810357124,4.21311716544816,0.3134625067945626,3,0.0,0.2087479982995456,0.16041954503248862,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6006,188,187,0.17028470124777803,3.703466199569754,0.22023498006206982,4,0.0,0.1339453656644604,0.2192999878930154,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6007,180,180,0.016917125007097095,3.6830928071501243,0.21997054092858173,1,0.0,0.04911423389157221,0.0,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6008,203,202,0.011130772882484164,4.184753720465012,0.2810239451372236,1,0.0,0.024130007734004633,0.006217815229367885,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6009,219,219,0.0803361988482466,4.051585576235804,0.28990120454929175,3,0.1772240986293701,0.0324031982861303,0.08975772302378748,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6010,199,198,0.06967944890534128,4.491254423935427,0.29182394835198566,2,0.022056745653667588,0.13135444751879838,0.04895612727467627,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6011,197,192,0.15997963676321877,4.406125564655008,0.27175333938507457,3,0.24312380376289391,0.0,0.23538463653995303,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6012,223,222,0.03751134821346119,3.6443409249456944,0.26690538867818514,1,0.08762875192546825,0.03215199972584036,0.026231440964146258,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6013,212,210,0.21759588038878505,4.191999051987693,0.2782082220119236,3,0.08953917181775202,0.08544441040484918,0.2951580297427824,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6014,214,214,0.009055503157153809,3.8679660568587537,0.2752689528307142,1,0.0,0.012331658473084721,0.009239294823245708,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6015,212,212,0.06436254837911723,3.87640646313518,0.2693844366427618,1,0.03055677099382592,0.12962267778480926,0.026580477741895227,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6016,199,199,0.08441764319380583,3.8316205682509556,0.2485644606954576,2,0.0605353050813496,0.028395522569826942,0.1148709161022874,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6017,198,198,0.04734221318234961,3.6519187837035325,0.2379020536543984,2,0.13057160430174222,0.0,0.057693878523996815,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6018,208,207,0.024740268957019827,3.896426972929779,0.2671463825741205,2,0.0,0.03895515783559063,0.021090350030058082,nurse_count_comparison,priority_nurses_3_fixed_load
priority,1000,5,4,3,6019,210,209,0.044836256423406246,3.668996269105936,0.2524831475502163,2,0.055446070383727945,0.0017001818221972695,0.0649463944623393,nurse_count_comparison,priority_nurses_3_fixed_load
fifo,1000,3,4,1,7000,324,273,98.9865062614213,102.63277274483588,0.9954307499721833,51,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
fifo,1000,3,4,1,7001,312,251,55.01102591377678,58.834041124283,0.9595768178370627,60,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_3
